File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\app.component.spec.ts,28,27,26,0,1,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\app.component.ts,15,13,7,0,2,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\app.module.ts,76,70,63,0,6,1,0,1,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.mutations.ts,91,83,24,0,8,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.queries.ts,52,47,15,0,5,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graphcool.client.ts,15,12,11,0,3,1,0,1,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\src\hello.js,11,8,4,1,2,0,1,13,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\comment\comment.component.spec.ts,46,40,44,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\comment\comment.component.ts,23,18,15,0,5,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\comments-list\comments-list.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\comments-list\comments-list.component.ts,23,21,20,0,2,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\project\project.component.spec.ts,27,21,22,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\project\project.component.ts,55,47,38,0,8,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\projectlist\projectlist.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\projectlist\projectlist.component.ts,36,32,30,0,4,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\single-project-view\single-project-view.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\single-project-view\single-project-view.component.ts,50,44,43,0,5,0,1,1,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\task\task.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\task\task.component.ts,35,32,25,2,3,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\tasklist\tasklist.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\tasklist\tasklist.component.ts,55,47,38,0,8,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\user\user.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\user\user.component.ts,16,11,6,0,5,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\message\message.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\message\message.component.ts,31,24,15,0,7,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\modal-interface.ts,11,9,11,0,2,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\edit-project-modal\edit-project-modal.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\edit-project-modal\edit-project-modal.component.ts,58,52,46,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\new-project-modal\new-project-modal.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\new-project-modal\new-project-modal.component.ts,40,35,35,0,5,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\new-task-modal\new-task-modal.component.spec.ts,26,20,20,0,6,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\new-task-modal\new-task-modal.component.ts,53,49,46,0,4,0,0,0,0,0
