File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.mutations.ts,createProject( $name: String! $description: String! ),9,9,2,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.mutations.ts,"updateProject($id: ID!, $name: String, $description: String)",6,6,2,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.mutations.ts,deleteProject($id: ID!),4,4,2,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.mutations.ts,"addTaskToProject($projectId: ID!, $taskName: String!, $taskDescription: String!, $taskDue: DateTime)",15,15,3,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.mutations.ts,deleteTask($taskId: ID!),6,6,2,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.mutations.ts,"addCommentToTask($taskId: ID!, $commentContent: String!)",13,13,3,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.mutations.ts,"likeComment($commentId: ID!, $likes: Int)",5,5,2,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.queries.ts,projectTasks($projectId: ID!),10,10,3,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\graph.queries.ts,ProjectDetails($id: ID!),18,18,4,0,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\comment.reducer.ts,"commentReducer(state = [], action: CommentAction)",7,7,4,3,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\editing.reducer.ts,"editingReducer(state = editingState, action: EditingAction)",10,10,5,3,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\modals.reducer.ts,"modalsReducer(state = modalState, action: ModalsAction)",15,15,7,4,0,0,0,0,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\project.reducer.ts,"projectReducer(state = [] , action: any)",84,83,51,30,0,0,1,1,
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers\task.reducer.ts,"taskReducer(state = [], action: TaskAction)",7,7,4,3,0,0,0,0,
